freq,am_item,indic_agr,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,AM010000,PRD_BP,MIO_EUR,EU27_2020_EFTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47837.33,49432.42,34138.2,41908.12,52987.77,55217.24,51749.76,48523.68,46545.55,40941.21,43525.82,45725.01,48063.09,48760.34,64920.41,80656.18,59110.18,49745.51,54345.27
A,AM010000,PRD_BP,MIO_EUR,FI,,,,558.96,370.2,339.25,413.36,609.6,596.81,958.2,1174.08,1240.6,1308.66,1223.83,785.54,986.47,1511.54,1653.31,1134.92,795.15,818.04,704.28,586.29,647.3,641.83,498.81,510.8,706.3,655.0,666.8,640.2,612.1,652.4,437.4,715.6,590.2,416.0,466.5,601.77,651.9,686.17,530.32,481.24,437.0,437.58,431.51,630.57,471.75,437.6,1040.65,630.94,618.09,633.91
A,AM010000,PRD_BP,MIO_EUR,FR,3938.43,4413.93,4194.16,4402.69,5217.75,6240.34,6380.88,7393.62,7612.24,8663.99,8472.69,9827.92,9284.72,8558.61,8283.83,8354.44,9001.08,8635.74,9094.83,9239.39,8270.96,8770.79,9773.12,10667.16,10214.92,10127.8,9755.5,9767.4,9644.4,10158.1,9623.5,10072.8,9343.5,8208.2,11850.7,10751.6,8450.1,11727.1,12037.1,14639.3,11852.5,11206.6,11220.9,8003.17,9846.95,10626.38,10939.69,10127.81,14631.15,16435.74,13111.92,9662.07,10365.66
A,AM010000,PRD_BP,MIO_EUR,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.98,411.39,600.69,594.02,493.84,602.82,625.99,653.97,448.45,375.81,315.34,365.05,323.84,399.05,393.12,446.55,574.15,849.66,508.05,548.53,550.81
A,AM010000,PRD_BP,MIO_EUR,HU,,,,,,,,,,,,,,,,,,,,,,,,,1156.12,810.43,800.48,1048.09,1108.01,1181.12,1096.52,1788.37,1609.49,1549.56,1815.17,2266.94,1402.09,1669.55,2388.27,2105.54,2250.42,2374.99,2067.64,2223.54,1998.53,2238.24,2300.71,2338.76,2834.45,2847.4,3064.3,2278.7,2366.84
A,AM010000,PRD_BP,MIO_EUR,IE,,,,,,,,,,,,,,,,,,258.41,259.67,263.99,238.27,238.94,290.78,328.57,310.38,278.23,296.21,327.16,339.38,289.24,342.33,347.59,187.57,220.84,341.52,279.85,158.19,292.44,389.71,419.26,379.08,372.72,380.93,304.81,325.07,361.72,371.0,333.17,491.82,824.58,430.19,433.05,422.26
A,AM010000,PRD_BP,MIO_EUR,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.66,3.88,4.53,3.93,6.29,4.7,5.69,3.25,2.13,2.99,1.99,3.51,2.12,2.53,5.02,3.18,2.39,4.03
A,AM010000,PRD_BP,MIO_EUR,IT,,,,,,,,3712.97,4103.91,4345.79,4700.79,5360.42,4518.06,4847.0,4514.98,4179.01,4266.32,4261.75,4560.08,4451.38,4474.91,4356.02,4554.1,5247.38,5070.49,4786.53,4727.79,4750.46,4729.07,5025.13,4481.18,5524.47,3180.75,3381.86,4416.62,4962.78,3235.92,3608.42,5133.69,4728.59,4550.69,4563.47,4227.63,4034.01,3500.59,3680.16,3691.71,4002.02,5174.42,6282.18,5222.6,4218.2,4461.07
A,AM010000,PRD_BP,MIO_EUR,LT,,,,,,,,,,,,,,,,,,,,,,,142.15,299.46,319.24,206.12,188.59,239.02,210.99,249.92,247.8,331.79,322.8,284.4,585.4,634.0,487.1,479.54,686.87,1031.79,878.41,863.23,1052.61,811.08,881.4,813.06,966.86,1209.86,1198.89,1828.46,1378.21,1243.46,1251.87
A,AM010000,PRD_BP,MIO_EUR,LU,,,,,,,,,,,,,25.25,25.95,25.32,25.24,23.87,22.48,23.04,23.22,23.43,21.56,23.85,26.41,23.36,22.57,20.56,23.18,22.12,22.35,24.17,22.39,15.48,17.93,26.92,22.99,17.12,25.4,26.36,31.92,29.35,23.19,26.71,18.27,21.31,26.18,24.01,22.89,29.31,47.29,28.68,25.14,29.05
A,AM010000,PRD_BP,MIO_EUR,LV,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,64.48,91.5,88.55,93.64,95.44,118.4,129.89,143.78,248.54,214.56,171.42,202.81,234.49,387.16,321.44,310.55,415.11,359.77,376.76,353.48,478.91,553.3,578.51,880.41,548.75,571.1,508.92
A,AM010000,PRD_BP,MIO_EUR,MK,,,,,,,,,,,,,,,,,,,,,,,,,,103.27,103.71,96.42,77.13,95.12,90.66,117.33,118.2,93.34,85.15,122.58,96.88,81.96,126.66,103.47,124.89,128.77,94.13,103.17,73.66,104.61,96.93,101.7,103.95,137.58,136.31,,
A,AM010000,PRD_BP,MIO_EUR,MT,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,AM010000,PRD_BP,MIO_EUR,NL,,,,,,,,,,,,,,234.49,193.64,205.59,208.54,198.95,183.04,201.33,209.43,203.52,274.87,295.21,244.06,229.99,226.16,323.03,335.83,359.5,398.98,268.28,262.8,300.94,411.45,459.33,343.57,415.16,425.98,610.88,473.28,381.32,390.93,305.15,326.47,383.14,376.48,372.16,483.48,755.89,446.15,266.31,344.31
A,AM010000,PRD_BP,MIO_EUR,NO,,,,,,,,,,,,,,,,,,,,,,,363.97,398.02,404.73,379.89,377.56,380.13,374.6,400.73,335.54,342.39,327.26,305.31,322.5,374.25,295.47,357.52,357.87,410.79,368.14,431.28,452.82,435.24,438.52,269.06,449.47,426.41,415.26,605.82,375.01,482.76,480.84
